Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Queen's Blade Rebellion vs. Hagure Yuusha no Aesthetica,"Jun ??, 2012",6.12,12996,Arms,"Action,Ecchi,Fantasy",1 ep,Other,"      Special -                        Jun ??, 2012              ",,      Special ,Action,Ecchi,Fantasy,,,3,,,
Fresh Precure!,"Feb 1, 2009, 08:30 (JST)",7.3,12990,Toei Animation,"Action,Slice of Life,Comedy,Magic,Fantasy,Shoujo",50 eps,Original,"      TV -                        Feb 1, 2009, 08:30 (JST)              ",,      TV ,Action,Slice of Life,Comedy,Magic,Fantasy,6,,,
Nurarihyon no Mago Recaps,"Sep 28, 2010",6.36,12885,Studio Deen,"Action,Supernatural,Demons,Shounen",2 eps,Manga,"      Special -                        Sep 28, 2010              ","VIZ Media,",      Special ,Action,Supernatural,Demons,Shounen,,4,VIZ Media,,
Chain Chronicle: Haecceitas no Hikari Part 3,"Feb 11, 2017",7.06,12819,Graphinica,"Action,Adventure,Fantasy,Magic,Shounen",1 ep,Game,"      Movie -                        Feb 11, 2017              ",,      Movie ,Action,Adventure,Fantasy,Magic,Shounen,5,,,
Appleseed XIII,"Jun 3, 2011",6.35,12812,Production I.G,"Action,Mecha,Military,Police,Sci-Fi",13 eps,Original,"      OVA -                        Jun 3, 2011              ","Funimation,",      OVA ,Action,Mecha,Military,Police,Sci-Fi,5,Funimation,,
Saber Marionette J to X,"Oct 6, 1998, 18:00 (JST)",7.29,12737,Hal Film Maker,"Action,Adventure,Comedy,Harem,Mecha,Sci-Fi",26 eps,-,"      TV -                        Oct 6, 1998, 18:00 (JST)              ","Bandai Entertainment,",      TV ,Action,Adventure,Comedy,Harem,Mecha,6,Bandai Entertainment,,
Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,"Oct 3, 2015, 02:25 (JST)",7.62,12737,I.Gzwei,"Action,Drama,Mecha,Military,Sci-Fi",13 eps,Original,"      TV -                        Oct 3, 2015, 02:25 (JST)              ",,      TV ,Action,Drama,Mecha,Military,Sci-Fi,5,,,
3x3 Eyes: Seima Densetsu,"Jul 25, 1995",6.96,12686,Studio Junio,"Action,Adventure,Horror,Demons,Romance,Fantasy",3 eps,Manga,"      OVA -                        Jul 25, 1995              ","Geneon Entertainment USA,",      OVA ,Action,Adventure,Horror,Demons,Romance,6,Geneon Entertainment USA,,
Armitage III: Poly-Matrix,"Apr 20, 1996",7.07,12672,AIC,"Action,Military,Sci-Fi,Adventure,Police,Romance,Mecha",1 ep,Original,"      Movie -                        Apr 20, 1996              ","Funimation,Geneon Entertainment USA,",      Movie ,Action,Military,Sci-Fi,Adventure,Police,7,Funimation,Geneon Entertainment USA,
Yu☆Gi☆Oh!: Sevens,"Apr 4, 2020, 07:30 (JST)",5.4,12656,Bridge,"Action,Game,Fantasy,Shounen",? eps,Card game,"      TV -                        Apr 4, 2020, 07:30 (JST)              ",,      TV ,Action,Game,Fantasy,Shounen,,4,,,
Berserk: Majo no Tsuisou,"Jun 2, 2017",5.79,12645,GEMBA,"Action,Adventure,Demons,Drama,Fantasy,Horror,Magic,Supernatural",1 ep,Manga,"      Special -                        Jun 2, 2017              ",,      Special ,Action,Adventure,Demons,Drama,Fantasy,8,,,
Suite Precure♪,"Feb 6, 2011",7.26,12635,Toei Animation,"Action,Magic,Fantasy,Shoujo",48 eps,Original,"      TV -                        Feb 6, 2011              ",,      TV ,Action,Magic,Fantasy,Shoujo,,4,,,
Sol Levante,"Apr 2, 2020",5.04,12630,Production I.G,"Action,Fantasy",1 ep,Original,"      ONA -                        Apr 2, 2020              ",,      ONA ,Action,Fantasy,,,,2,,,
Phantom The Animation,"Feb 27, 2004",6.54,12610,Arcs Create,"Action,Drama,Shounen",3 eps,Visual novel,"      OVA -                        Feb 27, 2004              ","Media Blasters,",      OVA ,Action,Drama,Shounen,,,3,Media Blasters,,
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,"Dec 25, 2010",7.38,12589,Xebec,"Action,Drama,Mecha,Military,Sci-Fi",1 ep,Original,"      Movie -                        Dec 25, 2010              ","Funimation,",      Movie ,Action,Drama,Mecha,Military,Sci-Fi,5,Funimation,,
Cardfight!! Vanguard: Legion Mate-hen,"Mar 9, 2014, 10:00 (JST)",6.76,12551,TMS Entertainment,"Action,Adventure,Demons,Game,Shounen",33 eps,Original,"      TV -                        Mar 9, 2014, 10:00 (JST)              ",,      TV ,Action,Adventure,Demons,Game,Shounen,5,,,
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,"Mar 22, 2006",6.15,12501,Trans Arts,"Action,Adventure,Fantasy,Magic,Sci-Fi",1 ep,Game,"      OVA -                        Mar 22, 2006              ",,      OVA ,Action,Adventure,Fantasy,Magic,Sci-Fi,5,,,
Cardfight!! Vanguard G,"Oct 26, 2014, 10:00 (JST)",6.5,12448,TMS Entertainment,"Action,Game,Shounen",48 eps,Card game,"      TV -                        Oct 26, 2014, 10:00 (JST)              ",,      TV ,Action,Game,Shounen,,,3,,,
Koutetsu no Majo Annerose,"Jul 27, 2012",6.8,12447,N/A,"Action,Hentai,Supernatural",4 eps,Visual novel,"      OVA -                        Jul 27, 2012              ",,      OVA ,Action,Hentai,Supernatural,,,3,,,
Hakuouki Hekketsuroku Episode 0,"Oct 3, 2010",7.12,12433,Studio Deen,"Action,Harem,Historical,Supernatural,Drama,Samurai,Vampire,Josei",1 ep,Visual novel,"      Special -                        Oct 3, 2010              ",,      Special ,Action,Harem,Historical,Supernatural,Drama,8,,,
Sword Art Online Fatal Bullet: The Third Episode,"Mar 20, 2018",6.17,12429,N/A,"Action,Game,Military,Sci-Fi,Psychological,Fantasy",1 ep,Game,"      Special -                        Mar 20, 2018              ",,      Special ,Action,Game,Military,Sci-Fi,Psychological,6,,,
Mobile Suit Gundam: The Origin - Advent of the Red Comet,"Apr 29, 2019",8.09,12416,Sunrise,"Action,Military,Sci-Fi,Space,Mecha,Shounen",13 eps,Manga,"      TV -                        Apr 29, 2019              ",,      TV ,Action,Military,Sci-Fi,Space,Mecha,6,,,
Plastic Little,"Mar 21, 1994",6.13,12402,animate Film,"Action,Adventure,Comedy,Ecchi,Mecha,Military,Romance,Sci-Fi",1 ep,Original,"      OVA -                        Mar 21, 1994              ","ADV Films,",      OVA ,Action,Adventure,Comedy,Ecchi,Mecha,8,ADV Films,,
Kure-nai OVA,"Jul 2, 2010",6.83,12377,Brain's Base,"Action,Comedy",2 eps,Light novel,"      OVA -                        Jul 2, 2010              ",,      OVA ,Action,Comedy,,,,2,,,
Betterman,"Apr 2, 1999, 01:15 (JST)",6.59,12342,Sunrise,"Action,Adventure,Psychological,Comedy,Mecha,Drama,Horror,Mystery,Sci-Fi",26 eps,Original,"      TV -                        Apr 2, 1999, 01:15 (JST)              ","Bandai Entertainment,Sentai Filmworks,",      TV ,Action,Adventure,Psychological,Comedy,Mecha,9,Bandai Entertainment,Sentai Filmworks,
Manyuu Hikenchou Specials,"Oct 4, 2011",6.16,12327,Hoods Entertainment,"Action,Ecchi,Seinen",8 eps,Manga,"      Special -                        Oct 4, 2011              ",,      Special ,Action,Ecchi,Seinen,,,3,,,
Zenonzard The Animation,"Jan 31, 2020",6.05,12325,8bit,"Action,Game,Fantasy",9 eps,Game,"      ONA -                        Jan 31, 2020              ",,      ONA ,Action,Game,Fantasy,,,3,,,
Photon,"Nov 21, 1997",7.05,12300,AIC,"Action,Adventure,Comedy,Drama,Ecchi,Mecha,Romance,Sci-Fi",6 eps,Original,"      OVA -                        Nov 21, 1997              ","Central Park Media,Discotek Media,",      OVA ,Action,Adventure,Comedy,Drama,Ecchi,8,Central Park Media,Discotek Media,
Cestvs: The Roman Fighter,"Apr 15, 2021, 00:55 (JST)",5.42,12290,Bandai Namco Pictures,"Action,Drama,Historical,Seinen",? eps,Manga,"      TV -                        Apr 15, 2021, 00:55 (JST)              ",,      TV ,Action,Drama,Historical,Seinen,,4,,,
Dragon Ball Super: Broly - Skytree Super,"Nov 1, 2018",7.14,12253,N/A,"Action,Comedy,Shounen",1 ep,Manga,"      Special -                        Nov 1, 2018              ",,      Special ,Action,Comedy,Shounen,,,3,,,
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,"Dec 12, 1992",6.27,12245,Magic Bus,"Action,Military,Sci-Fi,Space,Drama",1 ep,Novel,"      Movie -                        Dec 12, 1992              ",,      Movie ,Action,Military,Sci-Fi,Space,Drama,5,,,
Hakuouki OVA,"Mar ??, 2011",7.44,12227,Studio Deen,"Action,Historical,Supernatural,Drama,Samurai",2 eps,Visual novel,"      OVA -                        Mar ??, 2011              ",,      OVA ,Action,Historical,Supernatural,Drama,Samurai,5,,,
Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba,"Jul 5, 2015",6.55,12210,LIDENFILMS,"Action,Adventure,Drama,Fantasy,Historical,Supernatural",1 ep,Manga,"      Special -                        Jul 5, 2015              ","Funimation,",      Special ,Action,Adventure,Drama,Fantasy,Historical,6,Funimation,,
Mobile Suit Gundam NT,"Nov 30, 2018",6.63,12207,Sunrise,"Action,Drama,Mecha,Military,Sci-Fi,Space",1 ep,Novel,"      Movie -                        Nov 30, 2018              ","NYAV Post,",      Movie ,Action,Drama,Mecha,Military,Sci-Fi,6,NYAV Post,,
Code Geass: Soubou no Oz Picture Drama,"Jan 10, 2013",6.28,12176,Sunrise,"Action,Drama,Mecha,Military,School,Supernatural",5 eps,-,"      OVA -                        Jan 10, 2013              ",,      OVA ,Action,Drama,Mecha,Military,School,6,,,
Black Magic M-66,"Jun 28, 1987",6.38,12173,AIC,"Action,Military,Sci-Fi,Mecha",1 ep,Manga,"      OVA -                        Jun 28, 1987              ","Maiden Japan,",      OVA ,Action,Military,Sci-Fi,Mecha,,4,Maiden Japan,,
Shin Hokuto no Ken,"Jul 24, 2003",6.96,12082,A.C.G.T.,"Action,Martial Arts,Sci-Fi,Shounen",3 eps,Novel,"      OVA -                        Jul 24, 2003              ","ADV Films,Sentai Filmworks,",      OVA ,Action,Martial Arts,Sci-Fi,Shounen,,4,ADV Films,Sentai Filmworks,
Onigamiden,"Apr 29, 2011",6.52,12061,Studio Pierrot,"Action,Demons,Supernatural",1 ep,Original,"      Movie -                        Apr 29, 2011              ","Sony Pictures Entertainment,",      Movie ,Action,Demons,Supernatural,,,3,Sony Pictures Entertainment,,
Busou Shinki Moon Angel,"Sep 7, 2011",6.59,12040,Kinema Citrus,"Action,Sci-Fi",10 eps,Other,"      ONA -                        Sep 7, 2011              ",,      ONA ,Action,Sci-Fi,,,,2,,,
Aquarian Age: Sign for Evolution,"Jan 11, 2002, 01:15 (JST)",6.11,12037,Madhouse,"Action,Sci-Fi,Adventure,Music,Super Power,Supernatural,Romance,Fantasy,Shounen",13 eps,Card game,"      TV -                        Jan 11, 2002, 01:15 (JST)              ","ADV Films,",      TV ,Action,Sci-Fi,Adventure,Music,Super Power,9,ADV Films,,
Silent Möbius,"Jan 29, 1998, 18:00 (JST)",6.8,11985,Radix,"Action,Sci-Fi,Comedy,Horror,Drama,Magic,Romance,Fantasy",26 eps,Manga,"      TV -                        Jan 29, 1998, 18:00 (JST)              ","Bandai Entertainment,",      TV ,Action,Sci-Fi,Comedy,Horror,Drama,8,Bandai Entertainment,,
Area 88 (TV),"Jan 9, 2004",7.02,11941,Group TAC,"Action,Drama,Military,Romance,Shounen",12 eps,Manga,"      TV -                        Jan 9, 2004              ","ADV Films,",      TV ,Action,Drama,Military,Romance,Shounen,5,ADV Films,,
Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!,"Jan 6, 2010",7.18,11865,Production I.G,"Action,Historical,Martial Arts,Samurai",1 ep,Game,"      Special -                        Jan 6, 2010              ","Funimation,",      Special ,Action,Historical,Martial Arts,Samurai,,4,Funimation,,
Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!,"Dec 9, 2006",6.56,11864,Toei Animation,"Action,Adventure,Comedy,Fantasy,Shounen",1 ep,Original,"      Movie -                        Dec 9, 2006              ",,      Movie ,Action,Adventure,Comedy,Fantasy,Shounen,5,,,
Clamp Gakuen Tanteidan,"May 3, 1997",6.9,11861,Studio Pierrot,"Action,Mystery,Comedy,Shoujo",26 eps,Manga,"      TV -                        May 3, 1997              ","Bandai Entertainment,Maiden Japan,",      TV ,Action,Mystery,Comedy,Shoujo,,4,Bandai Entertainment,Maiden Japan,
Aoki Densetsu Shoot!,"Nov 7, 1993, 09:00 (JST)",7.4,11842,Toei Animation,"Action,Comedy,Drama,Romance,School,Shounen,Sports",58 eps,Manga,"      TV -                        Nov 7, 1993, 09:00 (JST)              ",,      TV ,Action,Comedy,Drama,Romance,School,7,,,
Hug tto! Precure,"Feb 4, 2018, 08:30 (JST)",7.73,11831,Toei Animation,"Action,Magic,Fantasy,Shoujo",49 eps,Original,"      TV -                        Feb 4, 2018, 08:30 (JST)              ",,      TV ,Action,Magic,Fantasy,Shoujo,,4,,,
Ryo,"Mar 2, 2013",5.87,11809,Gonzo,"Action,Historical,Drama,Samurai",1 ep,Original,"      Movie -                        Mar 2, 2013              ",,      Movie ,Action,Historical,Drama,Samurai,,4,,,
Toaru Majutsu no Index 10th Anniversary PV,"Sep 10, 2014",6.86,11788,J.C.Staff,"Action,Comedy,Magic,Sci-Fi,Super Power",1 ep,Light novel,"      Special -                        Sep 10, 2014              ",,      Special ,Action,Comedy,Magic,Sci-Fi,Super Power,5,,,
Kaibutsu Oujo (OVA),"Dec 9, 2010",7.08,11785,Tatsunoko Production,"Action,Comedy,Horror,Supernatural,Shounen",3 eps,Manga,"      OVA -                        Dec 9, 2010              ",,      OVA ,Action,Comedy,Horror,Supernatural,Shounen,5,,,
Senjuushi,"Jul 3, 2018, 23:00 (JST)",4.91,11764,TMS Entertainment,"Action,Military",12 eps,Game,"      TV -                        Jul 3, 2018, 23:00 (JST)              ","Sentai Filmworks,",      TV ,Action,Military,,,,2,Sentai Filmworks,,
Grappler Baki,"Aug 21, 1994",6.8,11691,N/A,"Action,Sports,Martial Arts,Shounen",1 ep,Manga,"      OVA -                        Aug 21, 1994              ","Central Park Media,",      OVA ,Action,Sports,Martial Arts,Shounen,,4,Central Park Media,,
Macross F: Close Encounter - Deculture Edition,"Dec 23, 2007",7.71,11645,Satelight,"Action,Mecha,Military,Music,Sci-Fi,Space",1 ep,Original,"      Special -                        Dec 23, 2007              ",,      Special ,Action,Mecha,Military,Music,Sci-Fi,6,,,
Ranma ½: Akumu! Shunmin Kou,"Jul 31, 2008",7.53,11636,Studio Deen,"Action,Comedy,Supernatural,Martial Arts,Shounen",1 ep,Manga,"      OVA -                        Jul 31, 2008              ",,      OVA ,Action,Comedy,Supernatural,Martial Arts,Shounen,5,,,
Ushio to Tora,"Sep 11, 1992",7.15,11629,Pastel,"Action,Comedy,Horror",10 eps,Manga,"      OVA -                        Sep 11, 1992              ","ADV Films,",      OVA ,Action,Comedy,Horror,,,3,ADV Films,,
Ajin 2nd Season OVA,"Apr 7, 2017",7.09,11606,Polygon Pictures,"Action,Mystery,Horror,Supernatural,Seinen",1 ep,Manga,"      OVA -                        Apr 7, 2017              ",,      OVA ,Action,Mystery,Horror,Supernatural,Seinen,5,,,
Digimon Universe: Appli Monsters,"Oct 1, 2016, 09:30 (JST)",6.58,11575,Toei Animation,"Action,Sci-Fi,Adventure,Comedy,Kids,Fantasy",52 eps,Original,"      TV -                        Oct 1, 2016, 09:30 (JST)              ",,      TV ,Action,Sci-Fi,Adventure,Comedy,Kids,6,,,
Choujuushin Gravion,"Oct 7, 2002",6.39,11549,Gonzo,"Action,Comedy,Mecha,Sci-Fi,Shounen",13 eps,Original,"      TV -                        Oct 7, 2002              ","ADV Films,",      TV ,Action,Comedy,Mecha,Sci-Fi,Shounen,5,ADV Films,,
Mahou Shoujo Lyrical Nanoha: Reflection,"Jul 22, 2017",7.45,11549,Seven Arcs Pictures,"Action,Drama,Magic,Sci-Fi",1 ep,Original,"      Movie -                        Jul 22, 2017              ",,      Movie ,Action,Drama,Magic,Sci-Fi,,4,,,
Saiyuuki Gaiden,"Mar 25, 2011",7.83,11536,N/A,"Action,Adventure,Drama,Fantasy",3 eps,Manga,"      OVA -                        Mar 25, 2011              ","Sentai Filmworks,",      OVA ,Action,Adventure,Drama,Fantasy,,4,Sentai Filmworks,,
One Piece: Episode of Alabasta - Prologue,"Mar 3, 2007",7.21,11517,Toei Animation,"Action,Adventure,Fantasy,Shounen",1 ep,Manga,"      OVA -                        Mar 3, 2007              ",,      OVA ,Action,Adventure,Fantasy,Shounen,,4,,,
Boruto: Jump Festa 2016 Special,"Nov 27, 2016",6.21,11511,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",1 ep,Manga,"      Special -                        Nov 27, 2016              ",,      Special ,Action,Adventure,Comedy,Super Power,Martial Arts,6,,,
Change!! Getter Robo: Sekai Saigo no Hi,"Aug 25, 1998",7.69,11496,Brain's Base,"Action,Psychological,Adventure,Mecha,Sci-Fi,Horror,Shounen",13 eps,-,"      OVA -                        Aug 25, 1998              ","ADV Films,Discotek Media,",      OVA ,Action,Psychological,Adventure,Mecha,Sci-Fi,7,ADV Films,Discotek Media,
Evangelion: Another Impact (VR),"Jul 2, 2018",6.41,11473,N/A,"Action,Mecha,Sci-Fi",1 ep,Original,"      Movie -                        Jul 2, 2018              ",,      Movie ,Action,Mecha,Sci-Fi,,,3,,,
Saiyuuki Reload: Burial,"Apr 28, 2007",7.81,11468,Studio Pierrot,"Action,Adventure,Drama,Fantasy,Shoujo",3 eps,Manga,"      OVA -                        Apr 28, 2007              ",,      OVA ,Action,Adventure,Drama,Fantasy,Shoujo,5,,,
Cyborg 009 VS Devilman,"Nov 11, 2015",6.32,11446,Actas,"Action,Sci-Fi,Super Power,Demons,Supernatural,Shounen",3 eps,Manga,"      OVA -                        Nov 11, 2015              ",,      OVA ,Action,Sci-Fi,Super Power,Demons,Supernatural,6,,,
Yao Shen Ji,"May 9, 2017",7.41,11424,Ruo Hong Culture,"Action,Adventure,Demons,Romance,Martial Arts,Fantasy",40 eps,Novel,"      ONA -                        May 9, 2017              ",,      ONA ,Action,Adventure,Demons,Romance,Martial Arts,6,,,
RoboMasters the Animated Series,"Oct 13, 2017, 22:30 (JST)",6.41,11419,DandeLion Animation Studio,"Action,Mecha,School",6 eps,Original,"      TV -                        Oct 13, 2017, 22:30 (JST)              ",,      TV ,Action,Mecha,School,,,3,,,
Saint Seiya: Saintia Shou,"Dec 10, 2018",5.58,11414,Gonzo,"Action,Adventure,Seinen",10 eps,Manga,"      ONA -                        Dec 10, 2018              ",,      ONA ,Action,Adventure,Seinen,,,3,,,
Project ARMS,"Apr 7, 2001",6.98,11389,TMS Entertainment,"Action,Martial Arts,Super Power",26 eps,Manga,"      TV -                        Apr 7, 2001              ","Discotek Media,VIZ Media,",      TV ,Action,Martial Arts,Super Power,,,3,Discotek Media,VIZ Media,
"Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai","Dec 2, 2017",7.4,11384,Blade,"Action,Historical,Supernatural",1 ep,Manga,"      Movie -                        Dec 2, 2017              ","Eleven Arts,",      Movie ,Action,Historical,Supernatural,,,3,Eleven Arts,,
Star Driver the Movie,"Feb 9, 2013",6.65,11369,Bones,"Action,Mecha,Romance,Shounen",1 ep,Original,"      Movie -                        Feb 9, 2013              ",,      Movie ,Action,Mecha,Romance,Shounen,,4,,,
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,"Dec 6, 2014",7.77,11368,Xebec,"Action,Military,Sci-Fi,Space,Drama",1 ep,Original,"      Movie -                        Dec 6, 2014              ",,      Movie ,Action,Military,Sci-Fi,Space,Drama,5,,,
Kishin Douji Zenki,"Jan 9, 1995, 18:00 (JST)",6.97,11306,Studio Deen,"Action,Comedy,Drama,Ecchi,Fantasy,Horror,Magic,Shounen",51 eps,Manga,"      TV -                        Jan 9, 1995, 18:00 (JST)              ","Media Blasters,",      TV ,Action,Comedy,Drama,Ecchi,Fantasy,8,Media Blasters,,
Ikkitousen: Extravaganza Epoch,"Dec 21, 2014",6.6,11254,Arms,"Action,Ecchi,Martial Arts,School,Seinen,Super Power",2 eps,-,"      OVA -                        Dec 21, 2014              ",,      OVA ,Action,Ecchi,Martial Arts,School,Seinen,6,,,
Ragnastrike Angels,"Apr 3, 2016, 00:56 (JST)",4.34,11253,Satelight,Action,12 eps,Game,"      TV -                        Apr 3, 2016, 00:56 (JST)              ",,      TV ,Action,,,,,1,,,
Ryuusei no Rockman,"Oct 7, 2006",7.1,11250,Xebec,"Action,Game,Sci-Fi,Shounen",55 eps,Game,"      TV -                        Oct 7, 2006              ","VIZ Media,",      TV ,Action,Game,Sci-Fi,Shounen,,4,VIZ Media,,
Kaze no Youjinbou,"Oct 2, 2001",7.18,11239,Studio Pierrot,"Action,Mystery,Drama,Shounen",25 eps,Original,"      TV -                        Oct 2, 2001              ","Bandai Entertainment,",      TV ,Action,Mystery,Drama,Shounen,,4,Bandai Entertainment,,
Aru Zombie Shoujo no Sainan (ONA),"Jul 4, 2018",5.37,11174,Gonzo,"Action,Horror,Supernatural,Thriller",1 ep,Novel,"      ONA -                        Jul 4, 2018              ",,      ONA ,Action,Horror,Supernatural,Thriller,,4,,,
High School Fleet Movie,"Jan 18, 2020",7.53,11166,A-1 Pictures,"Action,Military,School",1 ep,Original,"      Movie -                        Jan 18, 2020              ",,      Movie ,Action,Military,School,,,3,,,
Kyattou Ninden Teyandee,"Feb 1, 1990, 19:00 (JST)",7.03,11160,Tatsunoko Production,"Action,Comedy,Mecha,Super Power,Sci-Fi,Shounen",54 eps,Original,"      TV -                        Feb 1, 1990, 19:00 (JST)              ","Discotek Media,Saban Entertainment,",      TV ,Action,Comedy,Mecha,Super Power,Sci-Fi,6,Discotek Media,Saban Entertainment,
Vanquished Queens,"Mar 29, 2013",6.05,11152,Arms,"Action,Adventure,Ecchi,Fantasy",4 eps,Other,"      OVA -                        Mar 29, 2013              ",,      OVA ,Action,Adventure,Ecchi,Fantasy,,4,,,
Jormungand: Perfect Order Recap,"Oct 3, 2012",7.24,11143,White Fox,"Action,Adventure,Seinen",1 ep,Manga,"      Special -                        Oct 3, 2012              ",,      Special ,Action,Adventure,Seinen,,,3,,,
Black Jack 21,"Apr 10, 2006",7.57,11123,Tezuka Productions,"Action,Drama",17 eps,-,"      TV -                        Apr 10, 2006              ",,      TV ,Action,Drama,,,,2,,,
Fire Emblem,"Jan 26, 1996",5.64,11117,Studio Fantasia,"Action,Adventure,Fantasy,Magic,Shounen",2 eps,Game,"      OVA -                        Jan 26, 1996              ","ADV Films,",      OVA ,Action,Adventure,Fantasy,Magic,Shounen,5,ADV Films,,
Venus Senki,"Mar 11, 1989",6.78,11098,Triangle Staff,"Action,Sci-Fi,Adventure,Space",1 ep,Manga,"      Movie -                        Mar 11, 1989              ","Central Park Media,Discotek Media,",      Movie ,Action,Sci-Fi,Adventure,Space,,4,Central Park Media,Discotek Media,
Kyoushoku Soukou Guyver (1989),"Sep 25, 1989",7.12,11083,N/A,"Action,Horror,Sci-Fi,Super Power",6 eps,Manga,"      OVA -                        Sep 25, 1989              ","Manga Entertainment,",      OVA ,Action,Horror,Sci-Fi,Super Power,,4,Manga Entertainment,,
Fatal Fury: The Motion Picture,"Jul 16, 1994",6.58,11069,N/A,"Action,Adventure,Drama,Martial Arts,Romance,Shounen",1 ep,Game,"      Movie -                        Jul 16, 1994              ","Discotek Media,VIZ Media,",      Movie ,Action,Adventure,Drama,Martial Arts,Romance,6,Discotek Media,VIZ Media,
Munto: Toki no Kabe wo Koete,"Apr 29, 2005",7.01,10963,Kyoto Animation,"Action,Fantasy,Magic,Super Power",1 ep,Original,"      OVA -                        Apr 29, 2005              ","Central Park Media,",      OVA ,Action,Fantasy,Magic,Super Power,,4,Central Park Media,,
Yuu☆Yuu☆Hakusho: Eizou Hakusho II,"Dec 16, 1995",7.32,10963,Studio Pierrot,"Action,Adventure,Comedy,Supernatural,Shounen",4 eps,Manga,"      OVA -                        Dec 16, 1995              ","Funimation,",      OVA ,Action,Adventure,Comedy,Supernatural,Shounen,5,Funimation,,
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,"Sep 21, 1994",7.26,10940,Studio Pierrot,"Action,Adventure,Supernatural,Shounen",2 eps,Manga,"      OVA -                        Sep 21, 1994              ","Funimation,",      OVA ,Action,Adventure,Supernatural,Shounen,,4,Funimation,,
Queen's Blade: Gyokuza wo Tsugu Mono Specials,"Dec 22, 2009",6.16,10930,Arms,"Action,Adventure,Ecchi,Fantasy",6 eps,Other,"      Special -                        Dec 22, 2009              ","Media Blasters,",      Special ,Action,Adventure,Ecchi,Fantasy,,4,Media Blasters,,
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,"Apr 8, 2021, 23:00 (JST)",5.26,10911,Studio Comet,"Action,Magic,School,Slice of Life",12 eps,Original,"      TV -                        Apr 8, 2021, 23:00 (JST)              ",,      TV ,Action,Magic,School,Slice of Life,,4,,,
Nurarihyon no Mago: Sennen Makyou Recaps,"Sep 25, 2011",6.67,10860,Studio Deen,"Action,Demons,Shounen,Supernatural",2 eps,Manga,"      Special -                        Sep 25, 2011              ","VIZ Media,",      Special ,Action,Demons,Shounen,Supernatural,,4,VIZ Media,,
Tetsuwan Atom (1980),"Oct 1, 1980",7.14,10778,Tezuka Productions,"Action,Sci-Fi,Adventure,Mecha,Shounen",52 eps,Manga,"      TV -                        Oct 1, 1980              ","Manga Entertainment,",      TV ,Action,Sci-Fi,Adventure,Mecha,Shounen,5,Manga Entertainment,,
Bio Hunter,"Dec 8, 1995",5.93,10764,Madhouse,"Action,Demons,Horror",1 ep,Manga,"      OVA -                        Dec 8, 1995              ","Urban Vision,",      OVA ,Action,Demons,Horror,,,3,Urban Vision,,
Choujin Densetsu Urotsukidouji,"Jan 21, 1987",6.12,10703,Phoenix Entertainment,"Action,Demons,Drama,Hentai",3 eps,Manga,"      OVA -                        Jan 21, 1987              ",,      OVA ,Action,Demons,Drama,Hentai,,4,,,
Douluo Dalu: Jingying Sai,"Dec 1, 2018",8.18,10680,Sparkly Key Animation Studio,"Action,Adventure,Historical,Supernatural,Martial Arts,Fantasy",52 eps,Novel,"      ONA -                        Dec 1, 2018              ",,      ONA ,Action,Adventure,Historical,Supernatural,Martial Arts,6,,,
Darwin's Game: Log Line,"Feb 1, 2020",6.37,10679,Nexus,"Action,Mystery,Shounen",1 ep,Manga,"      Special -                        Feb 1, 2020              ",,      Special ,Action,Mystery,Shounen,,,3,,,
Baki: Most Evil Death Row Convicts Special Anime,"Dec 6, 2016",6.51,10674,Telecom Animation Film,"Action,Martial Arts,Shounen",1 ep,Manga,"      OVA -                        Dec 6, 2016              ",,      OVA ,Action,Martial Arts,Shounen,,,3,,,
Trigger-chan,"Aug 22, 2016",6.24,10653,Trigger,Action,1 ep,Original,"      ONA -                        Aug 22, 2016              ",,      ONA ,Action,,,,,1,,,
Mahou Sensei Negima!: Introduction Film,"Aug 25, 2004",6.64,10617,Xebec,"Action,Harem,Comedy,Supernatural,Romance,Ecchi",3 eps,Manga,"      OVA -                        Aug 25, 2004              ",,      OVA ,Action,Harem,Comedy,Supernatural,Romance,6,,,
Hokuto no Ken: Raoh Gaiden Ten no Haoh,"Oct 3, 2008",7.13,10579,Satelight,"Action,Drama,Martial Arts",13 eps,Manga,"      TV -                        Oct 3, 2008              ","Sentai Filmworks,",      TV ,Action,Drama,Martial Arts,,,3,Sentai Filmworks,,
